2021/03/01 11.43.28:	Se abrio Aplicacion.
2021/03/01 11.45.25:	Se abrio Aplicacion.
2021/03/01 11.46.14:	Se abrio Aplicacion.
2021/03/01 11.46.46:	Se abrio Aplicacion.
2021/03/01 11.48.59:	Se abrio Aplicacion.
2021/03/01 11.49.37:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/03/01 11.58.12:	Se abrio Aplicacion.
2021/03/01 12.18.33:	Se abrio Aplicacion.
2021/03/01 12.19.10:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/03/01 12.21.58:	Se abrio Aplicacion.
2021/03/01 04.25.16:	Se abrio Aplicacion.
2021/03/01 04.26.04:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/03/01 04.26.33:	Se abrio Aplicacion.
