2023-05-05 10.59.24:	Se abrio Aplicacion.
2023-05-05 11.00.23:	Se cerro la aplicacion. 
2023-05-05 11.04.16:	Se abrio Aplicacion.
2023-05-05 11.04.50:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2023-05-05 11.05.11:	Error en la conexion Ethernet para imagen con la camara(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32200
2023-05-05 11.05.32:	Error en conexion con la camara MODBUS(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:502
2023-05-05 11.06.02:	Se cerro la aplicacion. 
2023-05-05 11.06.02:	Se abrio Aplicacion.
2023-05-05 11.10.01:	Se cerro la aplicacion. 
2023-05-05 11.10.02:	Se abrio Aplicacion.
2023-05-05 11.10.08:	Se cerro la aplicacion. 
